Fecha,Hora,IP origen,IP destino,Job S7comm,Cod. Funcion S7comm,DB Req,Response Data
Apr  6, 2022 11:57:34.269565000 EDT,192.168.0.64,192.168.0.142,3,0x00000004,,000000000000
Apr  6, 2022 11:57:34.269593000 EDT,192.168.0.142,192.168.0.64,,,,
Apr  6, 2022 11:57:36.391738000 EDT,192.168.0.142,192.168.0.64,1,0x00000004,2,
Apr  6, 2022 11:57:36.396657000 EDT,192.168.0.64,192.168.0.142,3,0x00000004,,020000030005
Apr  6, 2022 11:57:36.396671000 EDT,192.168.0.142,192.168.0.64,,,,
Apr  6, 2022 11:57:36.768701000 EDT,192.168.0.142,192.168.0.64,1,0x00000004,0,
Apr  6, 2022 11:57:36.771367000 EDT,192.168.0.64,192.168.0.142,3,0x00000004,,000000000000
Apr  6, 2022 11:57:36.771381000 EDT,192.168.0.142,192.168.0.64,,,,
Apr  6, 2022 11:57:38.894945000 EDT,192.168.0.142,192.168.0.64,1,0x00000004,2,
Apr  6, 2022 11:57:38.897348000 EDT,192.168.0.64,192.168.0.142,3,0x00000004,,020000030005
Apr  6, 2022 11:57:38.897360000 EDT,192.168.0.142,192.168.0.64,,,,
Apr  6, 2022 11:57:39.270492000 EDT,192.168.0.142,192.168.0.64,1,0x00000004,0,
Apr  6, 2022 11:57:39.274352000 EDT,192.168.0.64,192.168.0.142,3,0x00000004,,000000000000
Apr  6, 2022 11:57:39.274364000 EDT,192.168.0.142,192.168.0.64,,,,
Apr  6, 2022 11:57:41.395107000 EDT,192.168.0.142,192.168.0.64,1,0x00000004,2,
Apr  6, 2022 11:57:41.399978000 EDT,192.168.0.64,192.168.0.142,3,0x00000004,,020000030005
Apr  6, 2022 11:57:41.399990000 EDT,192.168.0.142,192.168.0.64,,,,
Apr  6, 2022 11:57:41.770132000 EDT,192.168.0.142,192.168.0.64,1,0x00000004,0,
Apr  6, 2022 11:57:41.773102000 EDT,192.168.0.64,192.168.0.142,3,0x00000004,,000000000000
Apr  6, 2022 11:57:41.773114000 EDT,192.168.0.142,192.168.0.64,,,,
Apr  6, 2022 11:57:43.895347000 EDT,192.168.0.142,192.168.0.64,1,0x00000004,2,
Apr  6, 2022 11:57:43.899221000 EDT,192.168.0.64,192.168.0.142,3,0x00000004,,020000030005
Apr  6, 2022 11:57:43.899239000 EDT,192.168.0.142,192.168.0.64,,,,
Apr  6, 2022 11:57:44.272900000 EDT,192.168.0.142,192.168.0.64,1,0x00000004,0,
Apr  6, 2022 11:57:44.275874000 EDT,192.168.0.64,192.168.0.142,3,0x00000004,,000000000000
Apr  6, 2022 11:57:44.275886000 EDT,192.168.0.142,192.168.0.64,,,,
Apr  6, 2022 11:57:46.395649000 EDT,192.168.0.142,192.168.0.64,1,0x00000004,2,
Apr  6, 2022 11:57:46.400453000 EDT,192.168.0.64,192.168.0.142,3,0x00000004,,020000030005
Apr  6, 2022 11:57:46.400470000 EDT,192.168.0.142,192.168.0.64,,,,
Apr  6, 2022 11:57:46.775083000 EDT,192.168.0.142,192.168.0.64,1,0x00000004,0,
Apr  6, 2022 11:57:46.779073000 EDT,192.168.0.64,192.168.0.142,3,0x00000004,,000000000000
Apr  6, 2022 11:57:46.779090000 EDT,192.168.0.142,192.168.0.64,,,,
Apr  6, 2022 11:57:48.897803000 EDT,192.168.0.142,192.168.0.64,1,0x00000004,2,
Apr  6, 2022 11:57:48.901723000 EDT,192.168.0.64,192.168.0.142,3,0x00000004,,020000030005
Apr  6, 2022 11:57:48.901739000 EDT,192.168.0.142,192.168.0.64,,,,
Apr  6, 2022 11:57:49.275869000 EDT,192.168.0.142,192.168.0.64,1,0x00000004,0,
Apr  6, 2022 11:57:49.277732000 EDT,192.168.0.64,192.168.0.142,3,0x00000004,,000000000000
Apr  6, 2022 11:57:49.277744000 EDT,192.168.0.142,192.168.0.64,,,,
Apr  6, 2022 11:57:51.398214000 EDT,192.168.0.142,192.168.0.64,1,0x00000004,2,
Apr  6, 2022 11:57:51.402880000 EDT,192.168.0.64,192.168.0.142,3,0x00000004,,020000030005
Apr  6, 2022 11:57:51.402899000 EDT,192.168.0.142,192.168.0.64,,,,
Apr  6, 2022 11:57:51.776886000 EDT,192.168.0.142,192.168.0.64,1,0x00000004,0,
Apr  6, 2022 11:57:51.780542000 EDT,192.168.0.64,192.168.0.142,3,0x00000004,,000000000000
